parameter,mean,sd,lower,median,upper
alpha0,25.091207033295877,0.30933242310634834,24.661214788650174,25.065168719213244,25.72307757860867
beta0,2.3259781413719865e-05,0.0016124864202109613,-0.002448017425634705,0.0,0.002404093834215476
initial.level,25.091207033295877,0.30933242310634834,24.661214788650174,25.065168719213244,25.72307757860867
initial.slope,2.3259781413719865e-05,0.0016124864202109613,-0.002448017425634705,0.0,0.002404093834215476
model_index,10.0975,1.746602502217342,9.0,9.0,15.0
q_level,0.0030597946467171683,0.0015384827360624682,0.0009786974333023228,0.00286170162782222,0.005647854494755339
q_season,0.0,0.0,0.0,0.0,0.0
q_trend,2.2025062126903495e-09,1.2884966846296488e-08,0.0,0.0,8.841511645894317e-11
s_level,0.00019249858269650033,0.05538434938142578,-0.06953692355642063,0.0282558911177264,0.07117737668579419
s_season,0.0,0.0,-0.0,0.0,0.0
s_trend,-3.6462586529746626e-07,4.698822185560531e-05,0.0,0.0,0.0
sd.level,0.05358324962017663,0.013751464059089452,0.0312841385313845,0.05349487229763812,0.07515220783837925
sd.seasonal,0.0,0.0,0.0,0.0,0.0
sd.slope,9.516296162963694e-06,4.601346996886402e-05,0.0,0.0,2.2398930875290076e-06
sigma,1.5079958676986058,0.04230191435005155,1.4503320782416889,1.5027166552373894,1.576910729272402
sigma2,2.275836515323856,0.12824907070553804,2.1034631729909505,2.258157345927847,2.486647448094419
signed_sd.level,0.00019249858269650033,0.05538434938142578,-0.06953692355642063,0.0282558911177264,0.07117737668579419
signed_sd.seasonal,0.0,0.0,-0.0,0.0,0.0
signed_sd.slope,-3.6462586529746626e-07,4.698822185560531e-05,0.0,0.0,0.0
state_level,2.0,0.0,2.0,2.0,2.0
state_season,0.01,0.09962335082737976,0.0,0.0,0.0
state_trend,0.3625,0.58046196277238,0.0,0.0,2.0
xi,-0.29409071177796664,0.021442315398775946,-0.3330455295091745,-0.2928855710352412,-0.26899478165273866
