parameter,mean,sd,lower,median,upper
alpha0,25.044699508967184,0.21092670372058786,24.72574803633641,25.060122685010796,25.391541314784547
beta0,0.010337300964139859,0.0016187255482887806,0.007112860719875599,0.010570484007636292,0.012508115290545026
initial.level,25.044699508967184,0.21092670372058786,24.72574803633641,25.060122685010796,25.391541314784547
initial.slope,0.010337300964139859,0.0016187255482887806,0.007112860719875599,0.010570484007636292,0.012508115290545026
model_index,14.9475,0.4303565578880997,15.0,15.0,15.0
q_level,0.007909140122520104,0.002180605996730538,0.004960495965474838,0.00739135248931005,0.012595159097281103
q_season,0.0,0.0,0.0,0.0,0.0
q_trend,5.234096436947036e-08,2.89095365178339e-08,8.48755488224452e-09,4.9385001494733765e-08,1.0408466070434663e-07
s_level,-0.002018706268386536,0.08902177902273697,-0.10467100602300004,-0.06929957787124752,0.10311295694906307
s_season,0.0,0.0,-0.0,0.0,0.0
s_trend,4.662358078424087e-06,0.00022902041976271382,-0.0002907574390258875,0.0,0.0003019416575184239
sd.level,0.08816544935921358,0.01167623646785126,0.0704307884377453,0.08597295903047322,0.11222814873504765
sd.seasonal,0.0,0.0,0.0,0.0,0.0
sd.slope,0.00021749149014240452,7.107069504614806e-05,9.212787516687767e-05,0.0002222272224680918,0.00032262153157212284
sigma,1.4739019427128328,0.03592395020393325,1.421007566940012,1.4716939075810818,1.5406274886379272
sigma2,2.1736742406054232,0.10609830123316134,2.0192625053007727,2.1658829576112737,2.3735331259483656
signed_sd.level,-0.002018706268386536,0.08902177902273697,-0.10467100602300004,-0.06929957787124752,0.10311295694906307
signed_sd.seasonal,0.0,0.0,-0.0,0.0,0.0
signed_sd.slope,4.662358078424087e-06,0.00022902041976271382,-0.0002907574390258875,0.0,0.0003019416575184239
state_level,2.0,0.0,2.0,2.0,2.0
state_season,0.0075,0.08638521873004427,0.0,0.0,0.0
state_trend,1.98,0.14017532881009248,2.0,2.0,2.0
xi,-0.3019962855423319,0.018897485347631426,-0.33214433666145227,-0.3043115670035703,-0.26853288548416876
