parameter,mean,sd,lower,median,upper
alpha0,25.077386076697795,0.0825666127659092,24.93093377635257,25.074870259067296,25.20528358019295
beta0,-7.791830597175993e-05,0.0003443691685309886,-0.00111401931717422,0.0,0.0
initial.level,25.077386076697795,0.0825666127659092,24.93093377635257,25.074870259067296,25.20528358019295
initial.slope,-7.791830597175993e-05,0.0003443691685309886,-0.00111401931717422,0.0,0.0
model_index,2.67,4.558294101172273,0.0,0.0,15.0
q_level,5.7948184574576836e-05,0.00017634146075041422,0.0,0.0,0.0005085912419105851
q_season,0.0,0.0,0.0,0.0,0.0
q_trend,5.178683814081025e-10,2.5435252114904436e-09,0.0,0.0,4.470493684726717e-09
s_level,-0.0004959035934800486,0.007605713734033155,-0.013092562114292824,0.0,0.008954296617402168
s_season,0.0,0.0,0.0,-0.0,0.0
s_trend,-2.2357008075050026e-07,2.278412140719585e-05,0.0,0.0,0.0
sd.level,0.003005755210507176,0.007002586002033497,0.0,0.0,0.022551951707200597
sd.seasonal,0.0,0.0,0.0,0.0,0.0
sd.slope,5.327268139183628e-06,2.215209660599748e-05,0.0,0.0,6.68555375565512e-05
sigma,1.514724761959057,0.0340812171963824,1.4548089644771915,1.5116225204819518,1.563684614129432
sigma2,2.2955497300340952,0.10307836113873846,2.116469135449864,2.2850026694057504,2.445109572465111
signed_sd.level,-0.0004959035934800486,0.007605713734033155,-0.013092562114292824,0.0,0.008954296617402168
signed_sd.seasonal,0.0,0.0,0.0,-0.0,0.0
signed_sd.slope,-2.2357008075050026e-07,2.278412140719585e-05,0.0,0.0,0.0
state_level,1.2325,0.42295505369200753,1.0,1.0,2.0
state_season,0.0,0.0,0.0,0.0,0.0
state_trend,0.1925,0.5254846193876967,0.0,0.0,2.0
xi,-0.3583196605241665,0.020380573140387846,-0.39839086128803614,-0.3557812563950002,-0.33041844750715
