parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,25.077386076697795,0.0825666127659092,1.0728559751259539,15.655346955976935,,False,sampled
beta0,-7.791830597175993e-05,0.0003443691685309886,1.1352358237558073,43.644904048482054,,False,sampled
initial.level,25.077386076697795,0.0825666127659092,1.0728559751259539,15.655346955976935,,False,sampled
initial.slope,-7.791830597175993e-05,0.0003443691685309886,1.1352358237558073,43.644904048482054,,False,sampled
model_index,2.67,4.558294101172273,1.0453273166737558,15.756187150374274,,False,sampled
q_level,5.7948184574576836e-05,0.00017634146075041422,1.0261848394291642,22.374979237398854,,False,sampled
q_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
q_trend,5.178683814081025e-10,2.5435252114904436e-09,1.0488850327018233,26.79621721465424,,False,sampled
s_level,-0.0004959035934800486,0.007605713734033155,1.0261848394291642,391.9724858419703,,False,sampled
s_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
s_trend,-2.2357008075050026e-07,2.278412140719585e-05,1.0488850327018233,252.02559109805557,,False,sampled
sd.level,0.003005755210507176,0.007002586002033497,1.0261848394291642,22.374979237398854,,False,sampled
sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
sd.slope,5.327268139183628e-06,2.215209660599748e-05,1.0488850327018233,26.79621721465424,,False,sampled
sigma,1.514724761959057,0.0340812171963824,1.022772031231196,33.44155106430326,0.364,False,sampled
sigma2,2.2955497300340952,0.10307836113873846,1.022772031231196,33.44155106430326,,False,sampled
signed_sd.level,-0.0004959035934800486,0.007605713734033155,1.0261848394291642,391.9724858419703,,False,sampled
signed_sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
signed_sd.slope,-2.2357008075050026e-07,2.278412140719585e-05,1.0488850327018233,252.02559109805557,,False,sampled
state_level,1.2325,0.42295505369200753,1.001733285058077,18.38104992439741,,False,sampled
state_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_trend,0.1925,0.5254846193876967,1.142793867360632,6.635087191503359,,False,sampled
xi,-0.3583196605241665,0.020380573140387846,1.1182834833224526,12.25524352884498,0.286,False,sampled
