parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,25.02014098044433,0.2585008603503384,1.004937537950196,15.98459094049079,,False,sampled
beta0,-0.0001603672946146465,0.0009138703652069224,1.0230149525136214,56.68003662404778,,False,sampled
initial.level,25.02014098044433,0.2585008603503384,1.004937537950196,15.98459094049079,,False,sampled
initial.slope,-0.0001603672946146465,0.0009138703652069224,1.0230149525136214,56.68003662404778,,False,sampled
model_index,9.565,1.4632593138432002,1.0124320046524793,46.69861407980098,,False,sampled
q_level,0.0034401738980085546,0.0017830996279268904,1.0161189507859865,15.430935116464314,,False,sampled
q_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
q_trend,2.416516712784315e-09,1.5885496439909786e-08,1.0154068217694732,62.35987475633666,,False,sampled
s_level,-0.003939181143122895,0.058593855049434186,1.0190046073709902,330.80117947983274,,False,sampled
s_season,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
s_trend,-1.7329709117134162e-07,4.9219336022530355e-05,1.0154068217694732,400.0,,False,sampled
sd.level,0.056695297186814174,0.0150460337876539,1.0161189507859865,15.430935116464314,,False,sampled
sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
sd.slope,8.915844075686996e-06,4.840332262671248e-05,1.0154068217694732,62.35987475633666,,False,sampled
sigma,1.501826000165592,0.041936726699536936,1.0384305739317574,45.470020060693685,0.42,False,sampled
sigma2,2.257235627097037,0.12666430837972323,1.0367359049497398,45.470020060693685,,False,sampled
signed_sd.level,-0.003939181143122895,0.058593855049434186,1.0190046073709902,330.80117947983274,,False,sampled
signed_sd.seasonal,0.0,0.0,,,,True,constant draw; R-hat and ESS undefined
signed_sd.slope,-1.7329709117134162e-07,4.9219336022530355e-05,1.0154068217694732,400.0,,False,sampled
state_level,2.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_season,0.0025,0.05,1.0,400.0,,False,sampled
state_trend,0.1875,0.4877895001855084,1.011308812266937,45.320300097994775,,False,sampled
xi,-0.2945093701453626,0.01745037227222013,1.0186618661796922,32.75676734559864,0.294,False,sampled
